annotation_id,user_id,post_id,text,manual_label,manual_label_name
1,142263092,27833,This is Karelia 💙,1,Позитивный
2,13775083,38407,"Второй образ - корсет и мокрые волосы, неумирающая классика 😍

И всё это успели отснять за 35 минут, благодаря моему опыту и гибкости [id184770624|Анастасии] 💯",1,Позитивный
3,388020809,12979,I'm really very neat,2,Нейтральный
4,95192218,736,"Соль для классика
https://www.youtube.com/watch?v=bloI3omp-1U",2,Нейтральный
5,196391873,12961,"Узнай своих поклонников! vk.com/app4236781_560437366#cc3
доступно на Android 📱 https://vk.cc/6yMYWu ✅",2,Нейтральный
6,48594829,8445,#самаясчастливая #люблюнемогу #2017 прекрасное окончание года. Я сказала #да 😍💍😃,1,Позитивный
7,82152677,5330,"""Милочка, у вас в груди - сердца стук,
А у всех нормальных кукол там поролон и вата""",2,Нейтральный
8,3816122,1275,"Закрытие яхтенного сезона в ресторане ""More"" 👌🏼🎉🚤. @ Ресторан Море",1,Позитивный
9,327493683,3290,"Фальшь порождает горы проблем 
и превращает жизнь в ад. 

Есть такие люди, которые для всех вокруг пытаются казаться идеальными, это такая порода человека, чья самооценка зависит от одобрения окружающих, для таких людей неприемлема критика в свой адрес, а похвала для них, как бальзам на душу. Такие люди легко улыбаются тебе при встрече,а спустя время, за глаза, легко говорят о тебе не самые лучшие вещи другим. Таким образом эти люди самоутверждаются. Такие люди считают себя чуть ли не богами и склонны манипулировать теми ,кто является слабее их духом. Навязывание своей точки зрения и личных убеждений, для них является частью жизни, а тех, кто не принимает их позиции эти люди не уважают или даже презирают. Такие люди ставят себя выше тех, кто имеет меньшее положение в обществе или попросту меньше зарабатывает. Они преследуют только выгодные знакомства, а при утрате выгоды для них теряет ценность и сам человек. 

Простота, доброта, честность, открытость и бескорыстие - это ключ к наполненной, счастливой жизни и большим высотам. Так было, так есть и так будет.(с)",0,Негативный
10,2617,51969,"Это я отчётник [club160333971|ВЧБ] открывала, щас дома уже.

Спасибо [id95843|Мария Немм] за фото.",1,Позитивный
11,140479323,1533,Мой серый мышонок 👄❤️🐀,1,Позитивный
12,31828891,3767,"Все держим кулачки, чтобы погода завтра утром позволила мне прыгнуть свой первый прыжок с парашютом
мечта совсем рядом ...",1,Позитивный
13,5400263,18761,"Изначально, я хотела под этот трек сделать видеоряд из нашей поездки в зону СВО. Но хоть я и кажусь «повернутой на контенте», это совершенно не так. Поэтому видео смонтирую чуть позже, пока кусочек работы 🙏🏼🔥
Партнеры:
[club228378698|АНО Мост в будущее] 
[club216944117|FARRES] 
[club31029545|LUTCH] 
Jet24",2,Нейтральный
14,40471619,18949,С новым годом Катюха!!!!!!!!!!!!!!!!!!!!!,1,Позитивный
15,187643734,5471,Наконец-то скоро лето! 🙃🤗🌞,1,Позитивный
16,225915811,59765,Все подписчики исчезли😨,0,Негативный
17,76610261,3943,"Мои плейлесты по частотам, остальные в комментариях

#lowbass",2,Нейтральный
18,126109056,33131,"ВТОРОЙ ДЕНЬ ЗАНОСИТ!

Го лайк ))",1,Позитивный
19,441265431,7954,Как сказала великая Влада: переходим все в инсту vlada666_l .,2,Нейтральный
20,12299282,9556,"2026
Остальные фото и видео в телеграм канале
https://t.me/koty_v_kurse",2,Нейтральный
21,49637273,26020,Всех с праздником! 37 лет Фанатскому движению!),1,Позитивный
22,61650562,188129,"Эта звезда покоряет мои социальные сети всё больше и больше 😁
В полтора года уже поняла вайб прогулки со стаканчиком кофе навынос и вкусняшкой 🤌🏼 Когда она видит у меня в руках эти стаканчики, она сходит с ума и требует себе такой же 😂 С появлением Айлы я все чаще прибегаю к фразе: «Воспитывай не ребенка, а себя». Ну она точная копия нас с Артуром! Схватывает всё налету 🤌🏼",1,Позитивный
23,133248934,2253,"Большое искренное спасибо всем создателям этих сайтов, программ, и многого другого . А особенное спасибо моему чуду.",1,Позитивный
24,31828891,3630,Это я смотрю как меня догоняет внутренняя пассивная агрессия и душнила 😅,2,Нейтральный
